car_condition,service_type,staff_experience,spare_part_status,workload,turnaround_time,car_condition_encoded,service_type_encoded,spare_part_status_encoded
Good,Tire Rotation,11,In Stock,2,3.252046333943674,2,5,1
Poor,AC Service,2,In Stock,9,20.43061718141424,3,0,1
Fair,Tire Rotation,15,In Stock,7,4.7181260996929115,1,5,1
Good,Electrical,13,In Stock,9,11.569735994044697,2,2,1
Excellent,Engine Repair,19,Available Soon,3,10.572380838677205,0,3,0
Excellent,Tire Rotation,16,Available Soon,1,2.0372002852133977,0,5,0
Excellent,Transmission,18,Need Ordering,1,23.081609451213616,0,6,2
Fair,Tire Rotation,7,In Stock,10,10.248707259682854,1,5,1
Fair,Transmission,13,Available Soon,6,25.34893588958235,1,6,0
Fair,AC Service,4,Need Ordering,7,42.80906392203093,1,0,2
Excellent,Tire Rotation,9,Available Soon,9,9.218157384372297,0,5,0
Poor,Transmission,10,In Stock,6,21.673025624435276,3,6,1
Fair,Tire Rotation,9,In Stock,5,6.4138831789197805,1,5,1
Good,AC Service,7,In Stock,2,7.804834854995478,2,0,1
Excellent,Tire Rotation,15,Available Soon,2,3.669856798706995,0,5,0
Excellent,Brake Service,8,Available Soon,8,12.850917215395944,0,1,0
Good,Transmission,19,Need Ordering,1,20.84252380056291,2,6,2
Good,AC Service,11,In Stock,8,10.088473236100176,2,0,1
Good,Transmission,5,In Stock,10,30.21201568406652,2,6,1
Good,Transmission,2,Available Soon,7,42.919580397541715,2,6,0
Fair,Oil Change,10,Available Soon,7,9.305445458294185,1,4,0
Excellent,AC Service,16,Need Ordering,5,17.95591405888485,0,0,2
Good,Tire Rotation,13,Available Soon,3,6.455362990096139,2,5,0
Good,Transmission,8,In Stock,7,22.4538205894208,2,6,1
Good,Electrical,9,Available Soon,7,18.914870796187873,2,2,0
Fair,Oil Change,11,Available Soon,7,8.896699317783646,1,4,0
Excellent,Brake Service,11,In Stock,2,5.317654702489902,0,1,1
Good,Transmission,16,In Stock,3,10.929616964750698,2,6,1
Good,Transmission,10,In Stock,3,15.650156760681716,2,6,1
Excellent,Oil Change,12,In Stock,4,4.0567606527232885,0,4,1
Fair,Tire Rotation,6,Available Soon,9,14.738228243807146,1,5,0
Excellent,Electrical,12,In Stock,10,11.026441137923905,0,2,1
Excellent,Brake Service,10,In Stock,1,5.169308753440499,0,1,1
Poor,Transmission,18,In Stock,7,13.671497973261362,3,6,1
Poor,Tire Rotation,18,In Stock,7,5.628086162269963,3,5,1
Fair,AC Service,4,In Stock,4,11.994106443679277,1,0,1
Good,Electrical,9,Available Soon,1,12.253245358488902,2,2,0
Excellent,AC Service,7,In Stock,3,8.047039454401537,0,0,1
Fair,Electrical,18,In Stock,5,7.246718705934715,1,2,1
Good,Brake Service,8,In Stock,2,5.978041490090641,2,1,1
Excellent,Engine Repair,11,In Stock,7,15.351325289214396,0,3,1
Good,Electrical,7,In Stock,10,15.572887356998539,2,2,1
Excellent,Engine Repair,9,In Stock,10,20.00954425459768,0,3,1
Poor,AC Service,8,Available Soon,7,20.482522110424345,3,0,0
Good,Electrical,3,Available Soon,10,28.76845373473235,2,2,0
Fair,Brake Service,17,In Stock,5,5.350542324409883,1,1,1
Good,Oil Change,2,In Stock,10,9.145909366690141,2,4,1
Good,Brake Service,15,Need Ordering,6,17.87953985743362,2,1,2
Good,Brake Service,14,Available Soon,1,6.058618742973429,2,1,0
Excellent,Oil Change,18,In Stock,4,2.0626474921439772,0,4,1
Poor,Oil Change,16,Available Soon,4,6.706410116089445,3,4,0
Fair,Tire Rotation,20,Available Soon,8,6.378274998722993,1,5,0
Poor,Electrical,4,Available Soon,2,19.333581826225778,3,2,0
Fair,AC Service,20,In Stock,1,4.459349578615452,1,0,1
Good,Tire Rotation,6,In Stock,7,7.0450407779001845,2,5,1
Poor,Oil Change,6,In Stock,6,8.2253977465615,3,4,1
Excellent,Engine Repair,11,Need Ordering,5,41.427830562183395,0,3,2
Excellent,AC Service,17,Available Soon,8,10.539678897402435,0,0,0
Excellent,Engine Repair,3,In Stock,2,15.830562073647492,0,3,1
Good,Brake Service,13,Need Ordering,2,14.592546620954915,2,1,2
Good,Transmission,3,Need Ordering,9,92.506517842131,2,6,2
Good,Brake Service,16,Need Ordering,1,12.63733199405707,2,1,2
Fair,Brake Service,15,Available Soon,6,8.941134609303992,1,1,0
Good,Transmission,11,Need Ordering,3,44.64670945239725,2,6,2
Good,Electrical,18,In Stock,5,6.157717594816194,2,2,1
Good,Oil Change,15,Available Soon,8,5.6070805636708,2,4,0
Excellent,Engine Repair,5,Available Soon,7,31.116693077569362,0,3,0
Fair,Brake Service,16,In Stock,4,4.619103237546448,1,1,1
Excellent,Transmission,16,In Stock,8,14.440895726188527,0,6,1
Poor,Tire Rotation,17,Need Ordering,10,19.610563776553303,3,5,2
Fair,Brake Service,9,In Stock,2,7.499401790558245,1,1,1
Excellent,Engine Repair,3,Available Soon,7,33.34622943649872,0,3,0
Excellent,Oil Change,20,In Stock,5,2.036388876259676,0,4,1
Fair,Brake Service,13,In Stock,6,7.554002111673895,1,1,1
Fair,Brake Service,3,In Stock,3,9.592899410709379,1,1,1
Fair,Electrical,7,In Stock,10,16.994340648076946,1,2,1
Fair,Transmission,6,Available Soon,7,38.96262978343549,1,6,0
